Container_ID,Tenant_ID,Requested_CPU_Cores,Requested_Memory_MB,Requested_Storage_GB,Requested_Bandwidth_Mbps,Execution_Start_Time_ms,Execution_Finish_Time_ms,Makespan_ms,Server_ID,Available_CPU_Cores,Available_Memory_GB,Available_Storage_TB,Available_Bandwidth_Mbps,Power_Consumption_Watts,Inter_Container_Communication_Latency_ms,Routing_Path_Efficiency,Bandwidth_Allocation_Mbps,Active_Switches,Energy_Efficiency_Score,Execution_Cost_$,Resource_Utilization_%,SLA_Violation_Rate_%,Power_Consumption_Switches_Watts,Total_Data_Transferred_MB,Optimal_Scheduling
1,39,1,16146,468,3022,3075776,7684166,4608390,160,26,105,18.69,25878,272.19,402,0.34,567,13,0.67,290.25,37.23,8.89,125.81,20032,0
2,29,4,7243,336,2928,1261993,6821675,5559682,177,33,345,48.4,11805,652.93,459,0.86,292,17,0.19,136.11,40.93,4.73,331.63,3735,0
3,15,3,28467,636,1170,3818859,7544249,3725390,90,24,192,18.54,34008,483.36,58,0.97,1731,1,0.05,389.96,95.6,14.31,214.86,13211,1
4,43,2,11477,186,3991,1442850,7721443,6278593,185,44,59,28.24,19290,651.8,316,0.51,1308,11,0.49,299.44,32.56,47.52,96.43,39594,0
5,8,9,28078,546,3620,4735418,6391219,1655801,65,34,497,38.69,26566,200.4,271,0.32,1915,15,1.0,349.23,38.33,2.55,222.94,38243,0
6,21,14,19940,121,4754,2636986,9512268,6875282,48,31,509,22.48,36432,486.62,85,0.18,3015,13,0.37,257.27,39.56,47.74,267.25,14015,0
7,39,15,887,592,2013,1284110,8793858,7509748,180,54,501,19.26,23991,373.44,453,0.29,4349,12,0.88,77.48,80.56,37.2,473.5,15987,0
8,19,11,16029,718,1537,4783528,7576072,2792544,39,21,218,25.28,33480,464.88,323,0.62,504,7,0.71,26.7,65.43,29.24,244.68,32286,0
9,23,1,23243,565,1923,1183380,6480957,5297577,182,10,477,39.2,36673,331.54,466,0.95,407,6,0.26,264.34,87.24,24.39,251.84,21431,0
10,11,7,19932,668,4351,778533,6552981,5774448,153,12,125,16.3,4597,186.08,8,0.49,1346,10,0.04,429.47,23.01,7.11,274.8,8801,0
11,11,14,25748,274,3191,1646215,6162988,4516773,104,21,437,18.19,33148,683.44,422,0.14,1528,1,0.88,66.19,66.03,1.86,345.63,48264,0
